============ generation 0 ===============
0 {'chromosome': '0001010000011100', 'fitness': 5}
75 {'chromosome': '0000110010101000', 'fitness': 11}
76 {'chromosome': '1010001111111110', 'fitness': 11}
77 {'chromosome': '1011101001101100', 'fitness': 11}
78 {'chromosome': '1010010010100110', 'fitness': 11}
79 {'chromosome': '1001100100101010', 'fitness': 11}
80 {'chromosome': '1000100110111110', 'fitness': 11}
81 {'chromosome': '1011001001001010', 'fitness': 11}
82 {'chromosome': '1010101011011001', 'fitness': 11}
83 {'chromosome': '1011110010111011', 'fitness': 11}
84 {'chromosome': '1000100111100010', 'fitness': 11}
85 {'chromosome': '1000110010101001', 'fitness': 11}
86 {'chromosome': '1010010010100110', 'fitness': 11}
87 {'chromosome': '1000001010000110', 'fitness': 11}
88 {'chromosome': '1010001010000000', 'fitness': 12}
89 {'chromosome': '1000101010100100', 'fitness': 12}
90 {'chromosome': '1011110010101000', 'fitness': 12}
91 {'chromosome': '1100110010101010', 'fitness': 12}
92 {'chromosome': '1010001110011010', 'fitness': 12}
93 {'chromosome': '1000110010101000', 'fitness': 12}
94 {'chromosome': '1101101010101000', 'fitness': 12}
95 {'chromosome': '1000001010101000', 'fitness': 13}
96 {'chromosome': '1000110010101010', 'fitness': 13}
97 {'chromosome': '1010110010101000', 'fitness': 13}
98 {'chromosome': '0000101010101010', 'fitness': 14}
99 {'chromosome': '1000101010101010', 'fitness': 15}
============ generation 1 ===============
0 {'chromosome': '0001001001111101', 'fitness': 6}
1 {'chromosome': '0011011000000100', 'fitness': 7}
2 {'chromosome': '1001100100010010', 'fitness': 8}
3 {'chromosome': '1100110110010010', 'fitness': 8}
4 {'chromosome': '1010010101101111', 'fitness': 8}
5 {'chromosome': '1101010010101001', 'fitness': 8}
6 {'chromosome': '1001011010011111', 'fitness': 8}
7 {'chromosome': '0111100101101110', 'fitness': 8}
8 {'chromosome': '1100001011100100', 'fitness': 9}
9 {'chromosome': '1111101001111100', 'fitness': 9}
10 {'chromosome': '1001101110011111', 'fitness': 9}
11 {'chromosome': '1011111111100100', 'fitness': 9}
12 {'chromosome': '1101101111111011', 'fitness': 9}
13 {'chromosome': '1011000110111001', 'fitness': 9}
14 {'chromosome': '0011101001110110', 'fitness': 9}
15 {'chromosome': '1000011011001100', 'fitness': 9}
16 {'chromosome': '1011100101001110', 'fitness': 9}
17 {'chromosome': '1000000111100110', 'fitness': 9}
18 {'chromosome': '1100100001100110', 'fitness': 9}
19 {'chromosome': '1101101111111110', 'fitness': 9}
20 {'chromosome': '0010000111101100', 'fitness': 9}
21 {'chromosome': '1010001001111101', 'fitness': 9}
22 {'chromosome': '1100101111100001', 'fitness': 9}
23 {'chromosome': '1111001001101100', 'fitness': 9}
24 {'chromosome': '1011110110011110', 'fitness': 9}
25 {'chromosome': '1001100000111001', 'fitness': 9}
26 {'chromosome': '1101101001101100', 'fitness': 9}
27 {'chromosome': '0001101111101111', 'fitness': 9}
28 {'chromosome': '0111101001100110', 'fitness': 9}
29 {'chromosome': '0011001000111110', 'fitness': 10}
30 {'chromosome': '0111101001101000', 'fitness': 10}
31 {'chromosome': '0000101010010110', 'fitness': 10}
32 {'chromosome': '1011101001100111', 'fitness': 10}
33 {'chromosome': '0000101001101111', 'fitness': 10}
34 {'chromosome': '1000100110111001', 'fitness': 10}
35 {'chromosome': '0000110010111011', 'fitness': 10}
36 {'chromosome': '1001011010001000', 'fitness': 10}
37 {'chromosome': '1000100010011111', 'fitness': 10}
38 {'chromosome': '1101101111111010', 'fitness': 10}
39 {'chromosome': '1010001001100111', 'fitness': 10}
40 {'chromosome': '1011001001001011', 'fitness': 10}
41 {'chromosome': '1011001011001100', 'fitness': 10}
42 {'chromosome': '0100101011100110', 'fitness': 10}
43 {'chromosome': '1100100111100010', 'fitness': 10}
44 {'chromosome': '1000101001010010', 'fitness': 10}
45 {'chromosome': '1000011110111000', 'fitness': 10}
46 {'chromosome': '1000100110001001', 'fitness': 10}
47 {'chromosome': '0000100000100110', 'fitness': 10}
48 {'chromosome': '1010001001100111', 'fitness': 10}
49 {'chromosome': '1010010110100000', 'fitness': 10}
50 {'chromosome': '1100001011100011', 'fitness': 10}
51 {'chromosome': '1010101011010100', 'fitness': 10}
52 {'chromosome': '0000110010101000', 'fitness': 11}
53 {'chromosome': '1010010010111000', 'fitness': 11}
54 {'chromosome': '0110110010101000', 'fitness': 11}
55 {'chromosome': '1000100111100010', 'fitness': 11}
56 {'chromosome': '0000110010101000', 'fitness': 11}
57 {'chromosome': '1000001010011000', 'fitness': 11}
58 {'chromosome': '1011001010000110', 'fitness': 11}
59 {'chromosome': '1000100000111000', 'fitness': 11}
60 {'chromosome': '0000101010000000', 'fitness': 11}
61 {'chromosome': '1011001000111110', 'fitness': 11}
62 {'chromosome': '0001110010101010', 'fitness': 11}
63 {'chromosome': '1110001010000000', 'fitness': 11}
64 {'chromosome': '1001101110001000', 'fitness': 11}
65 {'chromosome': '1010001111111110', 'fitness': 11}
66 {'chromosome': '1010010010101100', 'fitness': 11}
67 {'chromosome': '1000111110111000', 'fitness': 11}
68 {'chromosome': '1001100000111010', 'fitness': 11}
69 {'chromosome': '1010010010100110', 'fitness': 11}
70 {'chromosome': '1000100001101000', 'fitness': 11}
71 {'chromosome': '1010010010100011', 'fitness': 11}
72 {'chromosome': '1010001000000000', 'fitness': 11}
73 {'chromosome': '1000100111100010', 'fitness': 11}
74 {'chromosome': '1001001010101000', 'fitness': 12}
75 {'chromosome': '1010001010001001', 'fitness': 12}
76 {'chromosome': '0000101111101010', 'fitness': 12}
77 {'chromosome': '1000011010101000', 'fitness': 12}
78 {'chromosome': '1011100010111011', 'fitness': 12}
79 {'chromosome': '1011111010100110', 'fitness': 12}
80 {'chromosome': '1000110000101010', 'fitness': 12}
81 {'chromosome': '1000110010101000', 'fitness': 12}
82 {'chromosome': '1010100110111110', 'fitness': 12}
83 {'chromosome': '1101101010101000', 'fitness': 12}
84 {'chromosome': '1000100010100110', 'fitness': 12}
85 {'chromosome': '1000101011111011', 'fitness': 12}
86 {'chromosome': '1000001010101000', 'fitness': 13}
87 {'chromosome': '1000110010101010', 'fitness': 13}
88 {'chromosome': '1011001010101000', 'fitness': 13}
89 {'chromosome': '1000001010001010', 'fitness': 13}
90 {'chromosome': '0001101010101010', 'fitness': 13}
91 {'chromosome': '1010101010100100', 'fitness': 13}
92 {'chromosome': '1010110010101000', 'fitness': 13}
93 {'chromosome': '1000100110101010', 'fitness': 13}
94 {'chromosome': '1010010010101010', 'fitness': 13}
95 {'chromosome': '0000101010101010', 'fitness': 14}
96 {'chromosome': '0000101010101010', 'fitness': 14}
97 {'chromosome': '1000101010101010', 'fitness': 15}
98 {'chromosome': '1000101010101010', 'fitness': 15}
99 {'chromosome': '1010101010101010', 'fitness': 16}
============ generation 2 ===============
0 {'chromosome': '1000000111100111', 'fitness': 8}
1 {'chromosome': '0111001000000000', 'fitness': 8}
2 {'chromosome': '0001110010001001', 'fitness': 8}
3 {'chromosome': '1100100111100011', 'fitness': 9}
4 {'chromosome': '1000001001100111', 'fitness': 9}
5 {'chromosome': '1000110110011110', 'fitness': 9}
6 {'chromosome': '1000101001010011', 'fitness': 9}
7 {'chromosome': '0000010010101100', 'fitness': 9}
8 {'chromosome': '1011110110011110', 'fitness': 9}
9 {'chromosome': '1000110010011111', 'fitness': 9}
10 {'chromosome': '1101101111111011', 'fitness': 9}
11 {'chromosome': '1010010010000000', 'fitness': 10}
12 {'chromosome': '0000110010111110', 'fitness': 10}
13 {'chromosome': '1001100000111011', 'fitness': 10}
14 {'chromosome': '0001110000101010', 'fitness': 10}
15 {'chromosome': '1010011001101100', 'fitness': 10}
16 {'chromosome': '0000111010000110', 'fitness': 10}
17 {'chromosome': '1101101011100110', 'fitness': 10}
18 {'chromosome': '1100001011111000', 'fitness': 10}
19 {'chromosome': '0111101001101000', 'fitness': 10}
20 {'chromosome': '0000101111100110', 'fitness': 10}
21 {'chromosome': '1100001011101100', 'fitness': 10}
22 {'chromosome': '1001100001001010', 'fitness': 10}
23 {'chromosome': '1110001000000000', 'fitness': 10}
24 {'chromosome': '0100101011100110', 'fitness': 10}
25 {'chromosome': '1010010110100110', 'fitness': 10}
26 {'chromosome': '1010010110101100', 'fitness': 10}
27 {'chromosome': '0010010010100110', 'fitness': 10}
28 {'chromosome': '1010010010111011', 'fitness': 11}
29 {'chromosome': '0000101000111110', 'fitness': 11}
30 {'chromosome': '1000101010010110', 'fitness': 11}
31 {'chromosome': '1000101111111110', 'fitness': 11}
32 {'chromosome': '0110110010101000', 'fitness': 11}
33 {'chromosome': '1000100110111110', 'fitness': 11}
34 {'chromosome': '0001001010101000', 'fitness': 11}
35 {'chromosome': '0010010010101000', 'fitness': 11}
36 {'chromosome': '0010001010000000', 'fitness': 11}
37 {'chromosome': '1100101011100110', 'fitness': 11}
38 {'chromosome': '1010010010100011', 'fitness': 11}
39 {'chromosome': '1011001000111000', 'fitness': 11}
40 {'chromosome': '0001110010101010', 'fitness': 11}
41 {'chromosome': '1010010010100110', 'fitness': 11}
42 {'chromosome': '1000111110111000', 'fitness': 11}
43 {'chromosome': '1000100111100010', 'fitness': 11}
44 {'chromosome': '1101101110101000', 'fitness': 11}
45 {'chromosome': '1101101111101010', 'fitness': 11}
46 {'chromosome': '1010010010101100', 'fitness': 11}
47 {'chromosome': '1011001010000110', 'fitness': 11}
48 {'chromosome': '1000100011111011', 'fitness': 11}
49 {'chromosome': '1000000110001010', 'fitness': 11}
50 {'chromosome': '1010010010101100', 'fitness': 11}
51 {'chromosome': '1000100010100111', 'fitness': 11}
52 {'chromosome': '1010001000000000', 'fitness': 11}
53 {'chromosome': '1000100111100010', 'fitness': 11}
54 {'chromosome': '1000110010101000', 'fitness': 12}
55 {'chromosome': '1010100001101000', 'fitness': 12}
56 {'chromosome': '1011100010111011', 'fitness': 12}
57 {'chromosome': '1000111110111010', 'fitness': 12}
58 {'chromosome': '1000110010100010', 'fitness': 12}
59 {'chromosome': '1000110010101000', 'fitness': 12}
60 {'chromosome': '1000110010101000', 'fitness': 12}
61 {'chromosome': '1010110010101100', 'fitness': 12}
62 {'chromosome': '0000101111101010', 'fitness': 12}
63 {'chromosome': '1100001010001010', 'fitness': 12}
64 {'chromosome': '1010001010001001', 'fitness': 12}
65 {'chromosome': '1000100000101000', 'fitness': 12}
66 {'chromosome': '1000100001101010', 'fitness': 12}
67 {'chromosome': '1010010010101000', 'fitness': 12}
68 {'chromosome': '1000001010011010', 'fitness': 12}
69 {'chromosome': '1011111010100110', 'fitness': 12}
70 {'chromosome': '1000001011100010', 'fitness': 12}
71 {'chromosome': '1001101110101000', 'fitness': 12}
72 {'chromosome': '1000101010001001', 'fitness': 12}
73 {'chromosome': '1011001010111000', 'fitness': 12}
74 {'chromosome': '1000100000101010', 'fitness': 13}
75 {'chromosome': '1000100010101000', 'fitness': 13}
76 {'chromosome': '1001101010101000', 'fitness': 13}
77 {'chromosome': '1000111110101010', 'fitness': 13}
78 {'chromosome': '1011111010111010', 'fitness': 13}
79 {'chromosome': '1011001010101000', 'fitness': 13}
80 {'chromosome': '1010110010101000', 'fitness': 13}
81 {'chromosome': '1000110010101010', 'fitness': 13}
82 {'chromosome': '1010101110111000', 'fitness': 13}
83 {'chromosome': '1010010010101010', 'fitness': 13}
84 {'chromosome': '1001101010101000', 'fitness': 13}
85 {'chromosome': '1011100010111010', 'fitness': 13}
86 {'chromosome': '1000001010101000', 'fitness': 13}
87 {'chromosome': '1000100110101010', 'fitness': 13}
88 {'chromosome': '1010101010100100', 'fitness': 13}
89 {'chromosome': '1010001010101000', 'fitness': 14}
90 {'chromosome': '1010110010101010', 'fitness': 14}
91 {'chromosome': '1000101010001010', 'fitness': 14}
92 {'chromosome': '1000101010101000', 'fitness': 14}
93 {'chromosome': '0000101010101010', 'fitness': 14}
94 {'chromosome': '0000101010101010', 'fitness': 14}
95 {'chromosome': '1000101011101010', 'fitness': 14}
96 {'chromosome': '1000101010101010', 'fitness': 15}
97 {'chromosome': '1010101010001010', 'fitness': 15}
98 {'chromosome': '1000101010101010', 'fitness': 15}
99 {'chromosome': '1010101010101010', 'fitness': 16}
============ generation 3 ===============
0 {'chromosome': '1101101111100111', 'fitness': 8}
1 {'chromosome': '1000110110011110', 'fitness': 9}
2 {'chromosome': '0000101111100100', 'fitness': 9}
3 {'chromosome': '1011100010110100', 'fitness': 10}
4 {'chromosome': '1000010010100110', 'fitness': 10}
5 {'chromosome': '1001100001001010', 'fitness': 10}
6 {'chromosome': '0001001010101001', 'fitness': 10}
7 {'chromosome': '1100001011111000', 'fitness': 10}
8 {'chromosome': '1100001011111000', 'fitness': 10}
9 {'chromosome': '1101101111111010', 'fitness': 10}
10 {'chromosome': '1010010110111010', 'fitness': 11}
11 {'chromosome': '1000101111100110', 'fitness': 11}
12 {'chromosome': '1010010010100000', 'fitness': 11}
13 {'chromosome': '1000110010100011', 'fitness': 11}
14 {'chromosome': '0111101011100010', 'fitness': 11}
15 {'chromosome': '1000101111111110', 'fitness': 11}
16 {'chromosome': '0000111110111010', 'fitness': 11}
17 {'chromosome': '1011001000111000', 'fitness': 11}
18 {'chromosome': '1000100001101011', 'fitness': 11}
19 {'chromosome': '0110110010101000', 'fitness': 11}
20 {'chromosome': '0000101010000000', 'fitness': 11}
21 {'chromosome': '1010010010100110', 'fitness': 11}
22 {'chromosome': '1010010010100110', 'fitness': 11}
23 {'chromosome': '1000110110101000', 'fitness': 11}
24 {'chromosome': '1000100000101100', 'fitness': 11}
25 {'chromosome': '0001110010101010', 'fitness': 11}
26 {'chromosome': '1000110010100110', 'fitness': 11}
27 {'chromosome': '1000111110111000', 'fitness': 11}
28 {'chromosome': '1100110010101000', 'fitness': 11}
29 {'chromosome': '1000110010100000', 'fitness': 11}
30 {'chromosome': '1000100111100010', 'fitness': 11}
31 {'chromosome': '1010010010101000', 'fitness': 12}
32 {'chromosome': '1000100110101000', 'fitness': 12}
33 {'chromosome': '1000111110111010', 'fitness': 12}
34 {'chromosome': '1000100000101000', 'fitness': 12}
35 {'chromosome': '1000110010100010', 'fitness': 12}
36 {'chromosome': '1100001010001010', 'fitness': 12}
37 {'chromosome': '1010010010101000', 'fitness': 12}
38 {'chromosome': '1000110110101010', 'fitness': 12}
39 {'chromosome': '1000001010011010', 'fitness': 12}
40 {'chromosome': '1010100001111010', 'fitness': 12}
41 {'chromosome': '0010101110111000', 'fitness': 12}
42 {'chromosome': '1010010010101000', 'fitness': 12}
43 {'chromosome': '0010001010001000', 'fitness': 12}
44 {'chromosome': '1010010010100010', 'fitness': 12}
45 {'chromosome': '1000101010001001', 'fitness': 12}
46 {'chromosome': '1010001010001001', 'fitness': 12}
47 {'chromosome': '1000110010101000', 'fitness': 12}
48 {'chromosome': '1010001110001000', 'fitness': 12}
49 {'chromosome': '1000110010101000', 'fitness': 12}
50 {'chromosome': '0000101111101010', 'fitness': 12}
51 {'chromosome': '1000100000111010', 'fitness': 12}
52 {'chromosome': '1010010010101000', 'fitness': 12}
53 {'chromosome': '1010101110111000', 'fitness': 13}
54 {'chromosome': '1010101111100010', 'fitness': 13}
55 {'chromosome': '1000100011101010', 'fitness': 13}
56 {'chromosome': '1010001010001000', 'fitness': 13}
57 {'chromosome': '1000111110101010', 'fitness': 13}
58 {'chromosome': '1000001010101000', 'fitness': 13}
59 {'chromosome': '1010101011100110', 'fitness': 13}
60 {'chromosome': '1000001010101000', 'fitness': 13}
61 {'chromosome': '1000101010011010', 'fitness': 13}
62 {'chromosome': '1010010010101010', 'fitness': 13}
63 {'chromosome': '1000100010101000', 'fitness': 13}
64 {'chromosome': '1010101110111000', 'fitness': 13}
65 {'chromosome': '1000100010100010', 'fitness': 13}
66 {'chromosome': '1000101010001000', 'fitness': 13}
67 {'chromosome': '1010101110111000', 'fitness': 13}
68 {'chromosome': '1010100001101010', 'fitness': 13}
69 {'chromosome': '1010010010101010', 'fitness': 13}
70 {'chromosome': '0000101010101000', 'fitness': 13}
71 {'chromosome': '1000101010111011', 'fitness': 13}
72 {'chromosome': '1011001000101010', 'fitness': 13}
73 {'chromosome': '0000100010101010', 'fitness': 13}
74 {'chromosome': '1010101110111000', 'fitness': 13}
75 {'chromosome': '1000001010101000', 'fitness': 13}
76 {'chromosome': '0000101010101011', 'fitness': 13}
77 {'chromosome': '1000100000101010', 'fitness': 13}
78 {'chromosome': '1000001011101010', 'fitness': 13}
79 {'chromosome': '1011110010101010', 'fitness': 13}
80 {'chromosome': '0000101010101010', 'fitness': 14}
81 {'chromosome': '1011111010101010', 'fitness': 14}
82 {'chromosome': '1000101010001010', 'fitness': 14}
83 {'chromosome': '1010101111101010', 'fitness': 14}
84 {'chromosome': '1000101010101000', 'fitness': 14}
85 {'chromosome': '1000101010101000', 'fitness': 14}
86 {'chromosome': '1000101010101000', 'fitness': 14}
87 {'chromosome': '1000101010101000', 'fitness': 14}
88 {'chromosome': '1010111010101000', 'fitness': 14}
89 {'chromosome': '1000101010101000', 'fitness': 14}
90 {'chromosome': '1000101010101010', 'fitness': 15}
91 {'chromosome': '1000101010101010', 'fitness': 15}
92 {'chromosome': '1010101010101000', 'fitness': 15}
93 {'chromosome': '1000101010101010', 'fitness': 15}
94 {'chromosome': '1000101010101010', 'fitness': 15}
95 {'chromosome': '1000101010101010', 'fitness': 15}
96 {'chromosome': '1000101010101010', 'fitness': 15}
97 {'chromosome': '1010101010101010', 'fitness': 16}
98 {'chromosome': '1010101010101010', 'fitness': 16}
99 {'chromosome': '1010101010101010', 'fitness': 16}
============ generation 4 ===============
0 {'chromosome': '0101101111100110', 'fitness': 8}
1 {'chromosome': '1000101111100111', 'fitness': 10}
2 {'chromosome': '0000101110111111', 'fitness': 10}
3 {'chromosome': '1000110110001000', 'fitness': 10}
4 {'chromosome': '0000101110100110', 'fitness': 11}
5 {'chromosome': '1000101111111110', 'fitness': 11}
6 {'chromosome': '1001101111111010', 'fitness': 11}
7 {'chromosome': '1000100011100110', 'fitness': 11}
8 {'chromosome': '1000110010100010', 'fitness': 12}
9 {'chromosome': '0110100000101010', 'fitness': 12}
10 {'chromosome': '1010010110101010', 'fitness': 12}
11 {'chromosome': '1110101110111000', 'fitness': 12}
12 {'chromosome': '1010100001111010', 'fitness': 12}
13 {'chromosome': '1000110010101000', 'fitness': 12}
14 {'chromosome': '0000101010001000', 'fitness': 12}
15 {'chromosome': '1000100000101000', 'fitness': 12}
16 {'chromosome': '1011101000111000', 'fitness': 12}
17 {'chromosome': '1011001000101000', 'fitness': 12}
18 {'chromosome': '1100001010001010', 'fitness': 12}
19 {'chromosome': '1010010010100010', 'fitness': 12}
20 {'chromosome': '1000000010101000', 'fitness': 12}
21 {'chromosome': '1000001011101000', 'fitness': 12}
22 {'chromosome': '1000100010100110', 'fitness': 12}
23 {'chromosome': '1000100110101000', 'fitness': 12}
24 {'chromosome': '1000111110111010', 'fitness': 12}
25 {'chromosome': '1011001000100010', 'fitness': 12}
26 {'chromosome': '1010111110111000', 'fitness': 12}
27 {'chromosome': '1010001010001001', 'fitness': 12}
28 {'chromosome': '1000100010111011', 'fitness': 12}
29 {'chromosome': '1010101110111000', 'fitness': 13}
30 {'chromosome': '1000101010111011', 'fitness': 13}
31 {'chromosome': '1000101010111000', 'fitness': 13}
32 {'chromosome': '0000100010101010', 'fitness': 13}
33 {'chromosome': '1010100000111010', 'fitness': 13}
34 {'chromosome': '1010111010001000', 'fitness': 13}
35 {'chromosome': '1011111010101000', 'fitness': 13}
36 {'chromosome': '1000111110101010', 'fitness': 13}
37 {'chromosome': '1000001010001010', 'fitness': 13}
38 {'chromosome': '1010100000001010', 'fitness': 13}
39 {'chromosome': '1000101010011010', 'fitness': 13}
40 {'chromosome': '1010101110111000', 'fitness': 13}
41 {'chromosome': '1011111010101000', 'fitness': 13}
42 {'chromosome': '1000001010101000', 'fitness': 13}
43 {'chromosome': '1000100010100010', 'fitness': 13}
44 {'chromosome': '1000101010111011', 'fitness': 13}
45 {'chromosome': '1000001010101000', 'fitness': 13}
46 {'chromosome': '1000110010101010', 'fitness': 13}
47 {'chromosome': '1000110010101010', 'fitness': 13}
48 {'chromosome': '1000100011101010', 'fitness': 13}
49 {'chromosome': '1000001011101010', 'fitness': 13}
50 {'chromosome': '1011001000101010', 'fitness': 13}
51 {'chromosome': '1000110010101010', 'fitness': 13}
52 {'chromosome': '1010101111101010', 'fitness': 14}
53 {'chromosome': '0000101010101010', 'fitness': 14}
54 {'chromosome': '1000101010101000', 'fitness': 14}
55 {'chromosome': '1010101010111000', 'fitness': 14}
56 {'chromosome': '1000101011101010', 'fitness': 14}
57 {'chromosome': '1010110010101010', 'fitness': 14}
58 {'chromosome': '1000001010101010', 'fitness': 14}
59 {'chromosome': '1010100011101010', 'fitness': 14}
60 {'chromosome': '1010111010101110', 'fitness': 14}
61 {'chromosome': '0000101010101010', 'fitness': 14}
62 {'chromosome': '1000101010111010', 'fitness': 14}
63 {'chromosome': '1000101010101000', 'fitness': 14}
64 {'chromosome': '1010101010001000', 'fitness': 14}
65 {'chromosome': '1010111010101000', 'fitness': 14}
66 {'chromosome': '1010110010101010', 'fitness': 14}
67 {'chromosome': '1000101010101000', 'fitness': 14}
68 {'chromosome': '1010100011101010', 'fitness': 14}
69 {'chromosome': '1010001010001010', 'fitness': 14}
70 {'chromosome': '1000101011101010', 'fitness': 14}
71 {'chromosome': '0000101010101010', 'fitness': 14}
72 {'chromosome': '0010101010101000', 'fitness': 14}
73 {'chromosome': '0000101010101010', 'fitness': 14}
74 {'chromosome': '1010101110111010', 'fitness': 14}
75 {'chromosome': '1000100010101010', 'fitness': 14}
76 {'chromosome': '1000101010101010', 'fitness': 15}
77 {'chromosome': '1000101010101010', 'fitness': 15}
78 {'chromosome': '1010101110101010', 'fitness': 15}
79 {'chromosome': '1000101010101010', 'fitness': 15}
80 {'chromosome': '1000101010101010', 'fitness': 15}
81 {'chromosome': '1000101010101010', 'fitness': 15}
82 {'chromosome': '1000101010101010', 'fitness': 15}
83 {'chromosome': '1000101010101010', 'fitness': 15}
84 {'chromosome': '1000101010101010', 'fitness': 15}
85 {'chromosome': '1010101000101010', 'fitness': 15}
86 {'chromosome': '1000101010101010', 'fitness': 15}
87 {'chromosome': '0010101010101010', 'fitness': 15}
88 {'chromosome': '1000101010101010', 'fitness': 15}
89 {'chromosome': '1000101010101010', 'fitness': 15}
90 {'chromosome': '1000101010101010', 'fitness': 15}
91 {'chromosome': '1010101010101000', 'fitness': 15}
92 {'chromosome': '1000101010101010', 'fitness': 15}
93 {'chromosome': '1000101010101010', 'fitness': 15}
94 {'chromosome': '1000101010101010', 'fitness': 15}
95 {'chromosome': '1010101010111010', 'fitness': 15}
96 {'chromosome': '1010101010101010', 'fitness': 16}
97 {'chromosome': '1010101010101010', 'fitness': 16}
98 {'chromosome': '1010101010101010', 'fitness': 16}
99 {'chromosome': '1010101010101010', 'fitness': 16}
============ generation 5 ===============
0 {'chromosome': '1000111110011000', 'fitness': 10}
1 {'chromosome': '1110101110111100', 'fitness': 11}
2 {'chromosome': '0010001011001010', 'fitness': 12}
3 {'chromosome': '1000101110111000', 'fitness': 12}
4 {'chromosome': '0000110010101010', 'fitness': 12}
5 {'chromosome': '1000101110111000', 'fitness': 12}
6 {'chromosome': '1000001011101000', 'fitness': 12}
7 {'chromosome': '0000100011101010', 'fitness': 12}
8 {'chromosome': '1000100000001010', 'fitness': 12}
9 {'chromosome': '1010101110001001', 'fitness': 12}
10 {'chromosome': '1000100000101000', 'fitness': 12}
11 {'chromosome': '1010001010001001', 'fitness': 12}
12 {'chromosome': '1000001011101000', 'fitness': 12}
13 {'chromosome': '1000110010111010', 'fitness': 12}
